qty,n_trades,total_qty,vol_share
50.112,1,50.112,0.0002977578986773529
49.642927,1,49.642927,0.00029497073810091847
48.546,1,48.546,0.0002884529643436856
48.008644,1,48.008644,0.0002852600765443228
46.986096,1,46.986096,0.0002791842515168498
46.98,1,46.98,0.0002791480300100183
45.633671,1,45.633671,0.0002711483474196531
44.3961,1,44.3961,0.0002637948883594673
43.962789,1,43.962789,0.00026122022015955947
43.065,1,43.065,0.0002558856941758501
42.572087,1,42.572087,0.00025295687993752896
41.136153,1,41.136153,0.0002444247780362006
39.654706,1,39.654706,0.00023562224479622078
39.154744,1,39.154744,0.0002326515464697017
39.15,1,39.15,0.00023262335834168193
39.043825,1,39.043825,0.00023199248260548963
37.444858,1,37.444858,0.00022249166336110846
35.203355,1,35.203355,0.00020917299272016452
35.031545,1,35.031545,0.0002081521237751662
32.190291,1,32.190291,0.00019126982371433
31.32,1,31.32,0.00018609868667334554
30.75644,1,30.75644,0.00018275009868287204
30.646825,1,30.646825,0.0001820987829887565
27.980771,1,27.980771,0.00016625749473843019
27.151483,1,27.151483,0.0001613299913005641
26.3088,1,26.3088,0.00015632289680561027
25.418717,1,25.418717,0.0001510341587043883
23.49,1,23.49,0.00013957401500500915
20.358,1,20.358,0.0001209641463376746
15.894197,1,15.894197,9.444090636741471e-05
15.66,1,15.66,9.304934333667277e-05
10.664929,1,10.664929,6.336938953909568e-05
7.485598,1,7.485598,4.4478287253021144e-05
0.024229,1,0.024229,1.4396504084956864e-07
0.020233,1,0.020233,1.2022141530848662e-07
0.019249,1,0.019249,1.1437463664671865e-07
0.014161,1,0.014161,8.414251283465027e-08
0.011321,1,0.011321,6.726766385149887e-08
0.009729,1,0.009729,5.7808241463760496e-08
0.006531,1,0.006531,3.880621081301468e-08
0.006401,1,0.006401,3.8033770542659156e-08
0.005416,1,0.005416,3.218105003265771e-08
0.003423,1,0.003423,2.033894650328422e-08
0.002531,1,0.002531,1.5038817878998645e-08
0.002001,1,0.002001,1.1889638315241522e-08
0.001598,1,0.001598,9.495073477139407e-09
0.000261,6,0.0015660000000000001,9.304934333667278e-09
0.001134,1,0.001134,6.738055896793546e-09
0.001001,1,0.001001,5.947790081737512e-09
0.000705,1,0.000705,4.189003004620326e-09
0.000699,1,0.000699,4.153351915219302e-09
0.000536,1,0.000536,3.1848306531581485e-09
0.000259,2,0.000518,3.0778773849550766e-09
0.00039,1,0.00039,2.3173208110665635e-09
0.000384,1,0.000384,2.2816697216655394e-09
0.000309,1,0.000309,1.8360311041527385e-09
0.000297,1,0.000297,1.7647289253506907e-09
0.000276,1,0.000276,1.6399501124471063e-09
0.00026,1,0.00026,1.544880540711042e-09
0.000258,1,0.000258,1.5329968442440341e-09
0.000251,1,0.000251,1.491403906609506e-09
0.000207,1,0.000207,1.2299625843353298e-09
5.3e-05,1,5.3e-05,3.149179563757125e-10
1.3e-05,1,1.3e-05,7.724402703555211e-11
1.2e-05,1,1.2e-05,7.13021788020481e-11
2e-06,1,2e-06,1.1883696467008016e-11
1e-06,2,2e-06,1.1883696467008016e-11
